25,18,23,25,17,18,21,16,15,19,24,28,19,25,20,17,15,28,18,20,20,27,28,21,18,27,26,27,16,25,25
28,16,20,18,27,26,20,17,23,28,28,21,24,30,15,26,23,19,23,26,16,19,26,18,23,15,23,21,19,23,28
17,18,30,29,21,17,22,18,16,21,20,22,23,30,16,21,21,24,30,18,24,17,20,19,15,24,17,25,22,15,19
26,17,20,16,24,22,19,23,22,16,27,19,26,27,27,28,18,26,20,27,19,30,20,24,23,23,28,26,21,22,25
19,20,20,21,21,15,25,17,26,24,23,28,28,23,26,19,27,25,15,29,21,17,22,19,25,21,15,25,25,18,28
16,19,26,20,18,21,29,16,21,15,27,16,29,22,17,26,30,18,24,22,26,29,21,27,18,22,23,18,24,24,21
30,30,28,29,21,30,20,26,22,16,18,22,29,27,27,19,18,24,17,26,29,25,15,25,30,18,20,15,20,18,19
18,27,17,26,16,25,25,25,18,26,20,17,15,16,17,21,30,26,26,17,30,17,16,30,19,29,19,28,19,17,25
21,29,15,21,16,18,30,18,30,27,24,17,20,29,22,28,30,17,23,23,15,23,19,27,30,21,28,19,24,23,21
25,22,17,24,21,25,20,29,20,28,24,27,29,20,17,21,19,20,30,20,22,20,26,19,24,29,15,18,30,26,18
21,22,21,28,23,28,25,16,25,29,20,15,24,15,24,17,22,15,28,22,19,23,21,30,18,18,23,17,25,30,25
25,22,17,26,19,26,25,23,30,27,22,21,18,18,23,21,17,28,16,17,19,27,29,26,20,15,22,20,30,24,30
