27,16,14,13,28,13,11,24,8,30,29,19,25,28,14,5,16,10,13,18,8,14,28,22,16,24,28,16,23,16,15
21,24,18,18,12,14,16,12,27,23,19,30,29,8,20,13,9,12,33,29,10,6,14,25,16,13,33,21,6,28,7
27,14,19,30,26,27,32,31,9,9,8,14,10,25,20,24,24,25,13,16,33,12,12,5,33,7,18,10,9,7,18
22,23,16,23,18,31,7,24,11,21,18,26,17,28,32,14,27,17,17,25,10,27,15,19,25,15,13,31,27,14,23
33,11,10,22,17,5,23,14,28,7,12,26,18,32,8,32,27,11,6,9,29,11,12,10,24,33,14,5,10,29,13
7,8,12,17,15,30,12,27,33,26,9,28,12,23,33,33,29,14,23,24,14,33,8,12,32,19,14,6,12,13,18
12,16,16,24,29,8,9,21,17,31,26,7,22,16,16,21,28,10,11,30,20,18,17,17,26,8,33,19,21,33,18
11,28,11,27,18,15,24,22,32,26,14,13,24,23,9,22,23,7,9,23,17,6,17,14,10,32,9,9,5,26,18
24,10,7,32,22,27,15,25,33,15,23,11,29,26,6,18,25,15,22,14,29,22,28,7,31,5,9,22,14,6,20
13,22,20,16,12,11,23,7,20,26,28,28,28,16,18,20,11,31,17,29,10,10,13,5,32,29,9,7,19,28,12
12,23,24,27,22,15,10,8,23,17,33,19,5,29,22,19,18,14,8,12,8,30,6,7,8,20,15,22,21,15,6
21,25,7,6,15,24,17,26,16,9,10,29,11,20,17,26,11,12,19,20,25,13,16,8,20,25,27,9,19,28,15
