25,19,12,17,25,33,16,31,27,18,15,31,18,20,11,18,21,19,25,13,15,24,16,18,32,18,33,26,33,32,30
22,27,25,25,28,28,13,17,30,25,20,30,27,31,28,12,26,18,23,11,29,19,14,20,14,21,30,33,25,23,18
23,13,29,30,21,22,33,20,11,30,31,25,31,31,33,13,28,22,23,15,14,28,20,31,26,33,32,12,27,23,26
30,32,30,19,23,22,27,26,25,20,32,31,22,27,26,26,22,29,17,26,19,18,30,18,22,28,11,17,22,25,26
19,23,25,21,13,15,26,18,31,32,25,28,14,16,12,19,28,29,13,27,31,27,20,15,19,27,25,20,24,15,15
29,17,29,25,21,12,33,20,31,19,16,13,23,19,19,27,22,13,21,24,24,33,29,18,11,21,24,30,22,14,14
27,26,11,25,29,28,20,30,14,20,15,23,19,14,22,20,27,14,30,32,18,33,22,16,11,12,20,33,11,29,20
26,30,18,23,26,16,15,12,21,21,26,17,30,22,30,11,25,16,15,28,16,16,14,23,20,16,27,30,14,11,27
32,24,17,25,21,15,17,11,12,29,12,21,24,23,21,18,26,11,33,17,16,12,19,16,26,17,11,20,30,26,19
25,25,16,13,12,24,18,16,18,33,17,26,33,11,31,18,28,33,12,29,17,12,31,29,24,26,32,11,31,33,21
29,23,25,22,30,18,30,30,31,13,14,17,25,12,11,32,14,29,23,32,17,31,23,25,26,24,23,11,32,24,13
22,16,11,28,15,13,29,29,25,13,24,25,22,31,15,12,16,15,16,17,28,22,16,29,26,30,33,16,31,26,25
