122 107 -171 55 -539 102 282 -218 -82 -130 150 -138
-375 138 298 -213 129 512 330 -119 -166 -54 -40 229
60 366 14 -174 257 -264 -108 -26 -146 216 12 -162
297 -79 -91 86 -4 337 -172 -82 -344 -120 -23 93
33 447 -115 -118 -188 -422 -275 344 166 -372 -332 223
255 165 -292 276 85 -258 -94 277 133 -203 85 193
-25 142 -267 -28 25 -243 265 375 -412 56 313 -472
172 190 79 -239 89 -335 -176 -31 62 79 -113 172
-281 18 -168 182 221 310 162 -164 -96 93 380 -24
288 -40 251 -336 94 -277 -287 -348 172 22 117 -346
174 -249 235 188 -1 -499 -512 -351 74 -35 18 174
53 319 -30 -8 237 119 -391 185 170 385 66 37
