261 -102 32 -76 -286 -158 56 37 127 -234 190 -105
-252 217 237 -34 -116 244 219 -218 39 240 203 108
-62 198 177 20 248 -59 86 -174 -22 261 176 -181
249 175 -254 -129 -290 260 -76 -116 -271 23 214 50
220 202 -83 -15 -185 -298 -262 271 159 -82 -240 122
-10 106 -45 248 258 -153 -118 130 122 -12 43 -40
269 -122 -103 -150 -94 -184 136 152 -211 94 72 -234
44 77 -197 -19 -150 -266 115 208 -23 -101 -226 226
-150 196 -293 13 187 122 55 -208 -233 215 160 -230
65 -174 296 -273 33 -177 -225 -248 23 -238 -21 -197
-13 -214 -35 -34 223 -202 -216 -268 -46 79 192 -58
-161 205 -204 -81 142 293 -226 169 253 145 246 -206
